file,dur,action,reason,original,final
ep06_00150.00s,5.21,keep,,おはよう 秀樹,おはよう 秀樹
ep06_00159.16s,3.23,keep,,他にもいっぱい覚えた,他にもいっぱい覚えた
ep06_00162.28s,3.34,keep,,ひできが教えてくれた,ひできが教えてくれた
ep06_00165.36s,1.51,keep,,点灯,点灯
ep06_00179.98s,1.94,keep,,おかず違う?,おかず違う？
ep06_00197.86s,3.32,keep,,ちぃ、具合まだ覚えていない,ちぃ、具合まだ覚えていない
ep06_00263.38s,3.16,keep,,いってらっしゃい,いってらっしゃい
ep06_00281.26s,2.71,keep,,チーン,チーン
ep06_00841.32s,4.07,keep,,お財布,お財布
ep06_00845.12s,3.23,keep,,カバン,カバン
ep06_00859.72s,1.29,keep,,チィ是什麼目少し,チィ是什麼目少し
ep06_00863.08s,2.03,keep,,鼻液が…,鼻液が…
ep06_00865.00s,2.18,keep,,教えてくれた,教えてくれた
ep06_00908.96s,1.92,keep,,チー,チー
ep06_00928.96s,2.05,keep,,ちーよもいー,ちーよもいー
ep06_01024.78s,2.76,keep,,ちーつらくない?,ちーつらくない？
ep06_01177.78s,1.35,keep,,ひでき,ひでき
ep06_01185.64s,1.32,keep,,ひでき,ひでき
ep06_01194.42s,3.05,keep,,暖かい,暖かい
ep06_01197.42s,4.53,keep,,居歴温かい,居歴温かい
ep06_01201.82s,3.44,keep,,すごく温かい,すごく温かい
ep06_01205.32s,2.63,keep,,ちい、うらしい,ちい、うらしい
ep06_01447.90s,2.75,keep,,秀樹、誰と話してるの?,秀樹、誰と話してるの？
ep07_00191.42s,3.17,keep,,ひでき、うううういってぐるぐるしてた。,ひでき、うううういってぐるぐるしてた。
ep07_00194.44s,1.34,keep,,大丈夫,大丈夫
ep07_00210.40s,3.35,keep,,ひでき怖かった,ひでき怖かった
ep07_00219.90s,2.33,keep,,1位 夢わからない,1位 夢わからない
ep07_00283.70s,1.40,keep,,バイト?,バイト？
ep07_00303.40s,1.82,keep,,ちいバイトする,ちいバイトする
ep07_00327.78s,3.24,keep,,じゃあチンバイトしてもいいの?,じゃあチンバイトしてもいいの？
ep07_00334.90s,2.20,keep,,ち、いいバイトする,ち、いいバイトする
ep07_00358.74s,1.79,keep,,ひできうれしい,ひできうれしい
ep07_00534.34s,2.18,keep,,いいバイトない,いいバイトない
ep07_00548.70s,2.70,keep,,バイト探してる,バイト探してる
ep07_00776.42s,2.82,repaired,latin,G作ったの誰か知らない,チー作ったの誰か知らない
ep07_00783.96s,4.20,keep,,秀樹は地位を拾ってくれた,秀樹は地位を拾ってくれた
ep07_00788.02s,1.87,keep,,でも作ってない,でも作ってない
ep07_00797.36s,1.56,keep,,ついてる?,ついてる？
ep07_00800.18s,1.94,keep,,幸せ,幸せ
ep07_00802.02s,5.10,keep,,それ秀樹にとっていいこと?,それ秀樹にとっていいこと？
ep07_01053.40s,2.10,keep,,チー、何をやる?,チー、何をやる？
ep07_01165.44s,1.90,keep,,ダメ,ダメ
ep07_01307.28s,1.12,keep,,チー,チー
ep08_00418.82s,1.02,keep,,ひでき,ひでき
ep08_00689.42s,2.30,keep,,バイト,バイト
ep08_00694.64s,3.34,keep,,ちー、昨日はバイトに行ってた,ちー、昨日はバイトに行ってた
ep08_00703.88s,2.61,keep,,ひでき、ダメだって言った,ひでき、ダメだって言った
ep08_00706.36s,3.16,keep,,だからチー、やばいばいとはしなかった,だからチー、やばいばいとはしなかった
ep08_00721.54s,4.01,keep,,チンがバイトしたらひできうれしいって言った,チンがバイトしたらひできうれしいって言った
ep08_00744.00s,1.70,keep,,チー、いけない?,チー、いけない？
ep08_00752.34s,1.98,keep,,本当に?,本当に？
ep08_00763.88s,1.79,keep,,チー,チー
ep08_00768.16s,2.42,keep,,だって秀樹はチーノ,だって秀樹はチーノ
ep08_00777.98s,2.54,keep,,して秀樹嬉しいって言ってた,して秀樹嬉しいって言ってた
ep08_00789.74s,4.53,keep,,うんありがとう秀樹,うんありがとう秀樹
ep08_00794.16s,1.85,keep,,きっちブラシ,きっちブラシ
ep08_00916.22s,5.25,keep,,お菓子をお買い上げいただいた方にプレゼントを差し上げています,お菓子をお買い上げいただいた方にプレゼントを差し上げています
ep08_00921.44s,5.70,keep,,ただいまチロル開店5周年の記念フェアを開催中です,ただいまチロル開店5周年の記念フェアを開催中です
ep08_00975.82s,2.65,keep,,あたり?,あたり？
ep08_00982.22s,3.99,keep,,チン、バイト初めてだからよくわからない,チン、バイト初めてだからよくわからない
ep08_00986.00s,3.13,keep,,チー、やること間違ってなかった?,チー、やること間違ってなかった？
ep08_01004.82s,2.97,keep,,これお金?,これお金？
ep08_01014.56s,3.24,keep,,この中に入ってるので何か買える?,この中に入ってるので何か買える？
ep08_01020.94s,3.82,keep,,ひできの欲しいものこの中に入ってるので買える,ひできの欲しいものこの中に入ってるので買える
ep08_01024.50s,3.80,keep,,ちぃ、わからないこといっぱい,ちぃ、わからないこといっぱい
ep08_01030.18s,4.06,keep,,上田博康店長いろいろ教えてください,上田博康店長いろいろ教えてください
ep08_01040.70s,4.18,keep,,店長この人は店長って呼ぶ,店長この人は店長って呼ぶ
ep08_01058.36s,1.46,keep,,ち、いっこ,ち、いっこ
ep08_01063.80s,2.33,keep,,ちいい子,ちいい子
ep08_01066.04s,2.38,keep,,ひできが言ってた,ひできが言ってた
ep08_01086.58s,2.37,keep,,他にバイトいないの?,他にバイトいないの？
ep08_01098.82s,2.14,keep,,本当になんでもない,本当になんでもない
ep08_01107.30s,4.45,keep,,このフェアが終わってからもチロルでバイトしてくれます,このフェアが終わってからもチロルでバイトしてくれます
ep08_01116.56s,3.77,keep,,良いかどうか秀樹に聞いてくる,良いかどうか秀樹に聞いてくる
ep08_01133.56s,2.22,keep,,何がダメ?バイト?,何がダメ？バイト？
ep08_01138.82s,2.83,keep,,抱きつくのダメなの?,抱きつくのダメなの？
ep08_01144.22s,1.55,keep,,ちぃ、わからない,ちぃ、わからない
ep08_01154.58s,2.75,keep,,チーノ,チーノ
ep08_01214.40s,3.82,keep,,ひできちんもっとバイトしていい,ひできちんもっとバイトしていい
ep08_01239.24s,3.37,keep,,それで秀樹の好きなもの買える?,それで秀樹の好きなもの買える？
ep08_01265.30s,2.29,keep,,お金いらなかった,お金いらなかった
ep08_01270.34s,2.28,keep,,けど,けど
ep08_01277.60s,1.98,keep,,ちぃー,ちぃー
ep08_01294.00s,2.05,keep,,ひでっ,ひでっ
ep08_01298.42s,1.37,keep,,抱きついていい?,抱きついていい？
ep09_00104.00s,7.81,keep,,チロルでもらったバイト代,チロルでもらったバイト代
ep09_00111.60s,5.84,keep,,ひできこれでチーの好きなもの買っていいって言った,ひできこれでチーの好きなもの買っていいって言った
ep09_00117.34s,5.38,keep,,でもやっぱり一位秀樹に何かあげたい,でもやっぱり一位秀樹に何かあげたい
ep09_00140.10s,2.47,keep,,いっぱいの参考書,いっぱいの参考書
ep09_00142.50s,3.05,keep,,いっぱいのおかず,いっぱいのおかず
ep09_00147.10s,1.43,keep,,これ持ってる,これ持ってる
ep09_00148.32s,1.60,keep,,それ持ってる,それ持ってる
ep09_00151.10s,4.52,keep,,ひできこれ持ってない,ひできこれ持ってない
ep09_00159.80s,3.17,keep,,これ、秀樹にあげる,これ、秀樹にあげる
ep09_00379.66s,2.29,keep,,ひできおかえり,ひできおかえり
ep09_00391.46s,3.26,keep,,チー、秀樹に買ってきた,チー、秀樹に買ってきた
ep09_00416.84s,1.77,keep,,チーも嬉しい顔になる,チーも嬉しい顔になる
ep09_00418.54s,2.40,keep,,こんな顔になる,こんな顔になる
ep09_00428.58s,2.87,keep,,幸せ,幸せ
ep09_00445.68s,1.19,keep,,いいこと,いいこと
ep09_00464.62s,2.75,keep,,ティー,ティー
ep09_00499.60s,5.94,keep,,とっひできおかずうれしくない,とっひできおかずうれしくない
ep09_00552.82s,1.29,keep,,ちん,ちん
ep09_00650.28s,3.96,keep,,秀樹昨日行ってたお風呂屋さんって今日行く?,秀樹昨日行ってたお風呂屋さんって今日行く？
ep09_00659.22s,1.14,keep,,わかった,わかった
ep09_00985.22s,1.34,keep,,ひでき,ひでき
ep09_00987.78s,1.91,keep,,バイト終わった,バイト終わった
ep09_00991.06s,3.05,keep,,これからお風呂,これからお風呂
ep09_00994.04s,2.88,keep,,一緒にお風呂屋さん行く?,一緒にお風呂屋さん行く？
ep09_01038.42s,1.54,keep,,ゆぶね,ゆぶね
ep09_01047.42s,1.41,keep,,血してる,血してる
ep09_01052.62s,1.72,keep,,じまえにみた,じまえにみた
ep09_01115.04s,3.28,keep,,ちいまねしたまわりをよくみて,ちいまねしたまわりをよくみて
ep09_01118.80s,3.80,keep,,周りを見て秀樹の真似した,周りを見て秀樹の真似した
ep09_01122.32s,3.01,keep,,秀樹の真似して後ついてった,秀樹の真似して後ついてった
ep09_01176.80s,1.56,keep,,これ、居歴のおかず。,これ、居歴のおかず。
ep09_01217.58s,2.78,keep,,え?ひでき、笑顔を!,え？ひでき、笑顔を！
ep09_01310.74s,2.72,keep,,それ、ちぃが買った,それ、ちぃが買った
ep09_01313.36s,2.79,keep,,秀樹の本と一緒に,秀樹の本と一緒に
ep09_01327.12s,1.50,keep,,ちー,ちー
ep09_01458.64s,1.11,keep,,ちー,ちー
ep10_00185.34s,2.29,keep,,人はみんなあれと一緒,人はみんなあれと一緒
ep10_00222.22s,3.84,keep,,代わりにはなれても人にはなれない,代わりにはなれても人にはなれない
ep10_00226.00s,4.39,keep,,それは私がよく知っている,それは私がよく知っている
ep10_00237.80s,1.98,keep,,おかえりなさい,おかえりなさい
ep10_00398.88s,2.93,keep,,ひでき,ひでき
ep10_00407.84s,2.23,keep,,予備校で嬉しいことある?,予備校で嬉しいことある？
ep10_00441.80s,4.64,keep,,ひできその女の子好きなの,ひできその女の子好きなの
ep10_00454.66s,8.52,keep,,いってらっしゃい,いってらっしゃい
ep10_00723.10s,4.90,keep,,私ともう一人の私で,私ともう一人の私で
ep10_00755.40s,4.15,dropped,latin,Cを呼んでいる,
ep10_00791.30s,2.13,keep,,チキ,チキ
ep10_00809.30s,6.09,repaired,latin,G わからない,チーわからない
ep10_00823.90s,3.02,keep,,秀樹は地位を拾ってくれた,秀樹は地位を拾ってくれた
ep10_00829.96s,2.58,keep,,チーはチーの名前,チーはチーの名前
ep10_00832.44s,2.08,keep,,ひできがつけてくれた,ひできがつけてくれた
ep10_00850.00s,5.60,keep,,ちー 目が覚めて悲劇が教えてくれたことしか知らない,ちー 目が覚めて悲劇が教えてくれたことしか知らない
ep10_01451.50s,5.43,keep,,ちょびっつ 次回 地位 確かめる,ちょびっつ 次回 地位 確かめる
ep11_00294.68s,2.08,keep,,ひできあそこ,ひできあそこ
ep11_00378.06s,1.30,keep,,チーム,チーム
ep11_00381.64s,1.65,keep,,ひでき,ひでき
ep11_00385.16s,1.45,keep,,ひでき,ひでき
ep11_00389.52s,1.13,keep,,はい,はい
ep11_00409.68s,1.91,keep,,音しなくなって,音しなくなって
ep11_00420.68s,1.08,keep,,何か,何か
ep11_00448.18s,2.17,keep,,ひできどうしたの,ひできどうしたの
ep11_00450.18s,2.09,keep,,具合悪い?,具合悪い？
ep11_00658.55s,3.90,keep,,ひでき,ひでき
ep11_00666.10s,3.90,keep,,ひできあの部屋怖い,ひできあの部屋怖い
ep11_00671.88s,2.28,keep,,ち、確かめる,ち、確かめる
ep11_00803.58s,1.13,keep,,そこ,そこ
ep11_01112.84s,1.20,keep,,ひでき,ひでき
ep11_01118.12s,2.62,keep,,これで怖くない?,これで怖くない？
ep11_01157.66s,2.01,keep,,いる,いる
ep11_01259.14s,1.25,keep,,大丈夫,大丈夫
ep11_01265.44s,2.09,keep,,秀樹もう壊,秀樹もう壊
ep11_01270.44s,1.28,keep,,よかった,よかった
ep11_01305.44s,1.91,keep,,ひげき,ひげき
ep11_01311.44s,6.19,keep,,ちぃっいできまだねる?,ちぃっいできまだねる？
ep11_01317.44s,3.38,keep,,おやすみ,おやすみ
ep11_01320.76s,4.57,keep,,また聞こえる,また聞こえる
ep12_00292.72s,1.97,keep,,ネットゲーム?,ネットゲーム？
ep12_00487.42s,2.65,keep,,ひできと一緒にゲームできる?,ひできと一緒にゲームできる？
ep12_00843.82s,3.09,keep,,チチ,チチ
ep12_00849.86s,1.72,keep,,わからない,わからない
ep12_00855.50s,2.90,keep,,でも秀樹と一緒じゃなかった,でも秀樹と一緒じゃなかった
ep12_00864.68s,1.27,keep,,ちっ,ちっ
ep12_00962.86s,2.06,keep,,ちぃ,ちぃ
ep12_00976.86s,4.28,keep,,魔法回復アイテム,魔法回復アイテム
ep12_00982.24s,2.95,keep,,おかえり、秀樹,おかえり、秀樹
ep12_00985.10s,1.92,keep,,今日もゲームスルー!,今日もゲームスルー！
ep12_00986.76s,2.42,keep,,今日はひできと一緒,今日はひできと一緒
ep12_01265.82s,3.17,keep,,ちぃ?ちぃ?何も覚えてない?,ちぃ？ちぃ？何も覚えてない？
ep12_01271.40s,1.10,repaired,latin,qui,ちぃ？
ep12_01295.82s,4.49,keep,,ひできもうゲームしないの,ひできもうゲームしないの
ep12_01305.72s,3.87,keep,,チー一緒にゲームできなかった,チー一緒にゲームできなかった
ep12_01314.78s,1.48,keep,,ちー,ちー
ep12_01317.18s,2.19,repaired,short,ち,チー
ep12_01319.30s,2.64,keep,,ここにある別のゲーム,ここにある別のゲーム
ep12_01434.96s,1.42,keep,,ひでき、これなに?,ひでき、これなに？
ep13_00230.18s,3.26,keep,,いらっきり,いらっきり
ep13_00354.56s,1.26,keep,,こんにちは,こんにちは
ep13_00399.22s,2.09,keep,,いっぱいの水,いっぱいの水
ep13_00404.22s,1.55,dropped,short,海,
ep13_00465.52s,2.25,keep,,しょっぱい水,しょっぱい水
ep13_00475.52s,1.07,keep,,チップ,チップ
ep13_00797.88s,1.13,keep,,ちぃ,ちぃ
ep13_00874.88s,2.11,keep,,かい!,かい！
ep13_00877.68s,2.47,keep,,じゃあこれは?えっと,じゃあこれは？えっと
ep13_00926.42s,3.76,keep,,ちっじゃああれは,ちっじゃああれは
ep13_00931.72s,1.77,keep,,居歴あれは何?,居歴あれは何？
ep13_01058.56s,1.71,keep,,ひでき泳げない,ひでき泳げない
ep13_01151.70s,3.09,keep,,チームバッシャーする,チームバッシャーする
ep13_01252.68s,5.58,keep,,ひでき,ひでき
ep13_01261.28s,3.83,keep,,地壁,地壁
ep13_01268.68s,4.97,keep,,ひでき、怒ってる?ちい、いけないことした?,ひでき、怒ってる？ちい、いけないことした？
ep13_01425.82s,7.88,keep,,ひでき夏は暑い?,ひでき夏は暑い？
ep13_01446.32s,2.54,keep,,夏は清水先生が来る?,夏は清水先生が来る？
ep14_00146.00s,3.26,keep,,ひるき、元気ない、病気?,ひるき、元気ない、病気？
ep14_00445.50s,1.96,keep,,おかえり,おかえり
ep14_00454.82s,2.12,keep,,置いとくといいって,置いとくといいって
ep14_00462.78s,2.03,keep,,これが夏?,これが夏？
ep14_00532.76s,1.80,keep,,こんばんは,こんばんは
ep14_00596.88s,3.10,keep,,お月様、ひできが教えてくれた。,お月様、ひできが教えてくれた。
ep14_00686.74s,2.08,keep,,秀樹、大丈夫?,秀樹、大丈夫？
ep14_00691.74s,1.11,keep,,ちぃ,ちぃ
ep14_00798.70s,2.30,keep,,ちん,ちん
ep14_00803.12s,1.77,keep,,清水先生,清水先生
ep14_00804.66s,1.61,keep,,パタンってなった,パタンってなった
ep14_00986.62s,1.95,keep,,いってらっしゃい,いってらっしゃい
ep15_00224.38s,4.67,keep,,ひとつまって何?,ひとつまって何？
ep15_00571.86s,1.19,keep,,見てき,見てき
ep15_00597.42s,4.80,keep,,いい?,いい？
ep15_00602.16s,5.24,keep,,チー,チー
ep16_00098.70s,4.49,keep,,それ、ひできのおかず,それ、ひできのおかず
ep16_00113.90s,2.10,keep,,キー,キー
ep16_00115.90s,4.10,keep,,そろそろひでき帰ってくる,そろそろひでき帰ってくる
ep16_00129.90s,2.15,keep,,ひでき帰ってきた,ひでき帰ってきた
ep16_00183.80s,3.04,keep,,ひできどうしたの?何か?,ひできどうしたの？何か？
ep16_00209.58s,1.25,keep,,最後まで終わります,最後まで終わります
ep16_00327.08s,1.37,keep,,ちーん,ちーん
ep16_00335.87s,1.89,keep,,ご視聴ありがとうございました,ご視聴ありがとうございました
ep16_00350.18s,1.27,keep,,ひでき,ひでき
ep16_00484.06s,1.30,keep,,電気,電気
ep16_00538.92s,1.95,keep,,まだ元気ない,まだ元気ない
ep16_00550.04s,1.01,keep,,ひでき,ひでき
ep16_00555.54s,1.01,keep,,ちっ,ちっ
ep16_00567.76s,1.32,keep,,行ってきます。,行ってきます。
ep16_00589.96s,1.19,repaired,latin,チ Europa,ちー。
ep16_00592.96s,4.21,keep,,でも元気な愛秀樹を見ると地位こうなる。,でも元気な愛秀樹を見ると地位こうなる。
ep16_00596.96s,2.58,keep,,秀樹お財布を落とした,秀樹お財布を落とした
ep16_00603.22s,3.83,keep,,だけどチーは何もしてあげられない,だけどチーは何もしてあげられない
ep16_00607.00s,3.56,keep,,地位秀樹に何かしてあげたい,地位秀樹に何かしてあげたい
ep16_00610.48s,2.50,keep,,元気にしてあげたい,元気にしてあげたい
ep16_00636.42s,3.34,keep,,これあげたらひでききっと喜ぶ,これあげたらひでききっと喜ぶ
ep16_00646.44s,2.27,keep,,秀樹これで元気,秀樹これで元気
ep16_00665.28s,1.22,keep,,どうして?,どうして？
ep16_00677.56s,1.10,keep,,チー,チー
ep16_00718.15s,2.43,keep,,ひでき,ひでき
ep16_00760.00s,5.69,keep,,こないだひできこうやってぐるぐるやったのを食べてた,こないだひできこうやってぐるぐるやったのを食べてた
ep16_00807.24s,3.09,keep,,ちい、秀樹のためにバイトしたのに。,ちい、秀樹のためにバイトしたのに。
ep16_00810.10s,2.32,keep,,秀樹お金いらないって,秀樹お金いらないって
ep16_00812.32s,3.24,keep,,ちい秀樹のために何ができる,ちい秀樹のために何ができる
ep16_00815.48s,2.46,keep,,何をしたら秀樹は喜ぶ?,何をしたら秀樹は喜ぶ？
ep16_00835.32s,1.41,keep,,ちぃー,ちぃー
ep16_00889.68s,1.94,keep,,次は,次は
ep16_00928.74s,2.08,keep,,チッわかった,チッわかった
ep16_01045.66s,3.52,keep,,チートスモモで管理人さんに教わって作った,チートスモモで管理人さんに教わって作った
ep16_01050.36s,2.98,keep,,秀樹、バイト代は地位が使えって言った。,秀樹、バイト代は地位が使えって言った。
ep16_01057.58s,3.80,keep,,ひでき最近元気なかった,ひでき最近元気なかった
ep16_01061.26s,4.25,keep,,た 秀樹が元気じゃないとチーも元気なくなる,た 秀樹が元気じゃないとチーも元気なくなる
ep16_01065.22s,3.63,keep,,だからちいひできに元気あげたい,だからちいひできに元気あげたい
ep16_01132.42s,4.32,keep,,左手は猫の手,左手は猫の手
ep16_01136.64s,3.06,keep,,アクア丁寧に救う,アクア丁寧に救う
ep16_01139.64s,1.70,keep,,いっぱい覚えた,いっぱい覚えた
ep16_01141.14s,3.34,keep,,管理人さんもおいしいって言ってくれた,管理人さんもおいしいって言ってくれた
ep16_01150.28s,2.87,keep,,ひでき笑った,ひでき笑った
ep16_01153.10s,2.40,keep,,久しぶりに笑った,久しぶりに笑った
ep16_01155.40s,1.63,keep,,うれしい,うれしい
ep16_01163.18s,2.92,keep,,ひできが笑うとチーム嬉しい,ひできが笑うとチーム嬉しい
ep16_01173.38s,1.61,keep,,ご視聴ありがとうございました,ご視聴ありがとうございました
ep16_01228.38s,1.91,keep,,ちぃ,ちぃ
ep16_01237.38s,1.05,keep,,キー,キー
ep17_00214.10s,2.26,keep,,チッチッチッ,チッチッチッ
ep17_00248.88s,2.11,keep,,ちい、サージする。,ちい、サージする。
ep17_00267.62s,2.58,keep,,ぷちーーーーー,ぷちーーーーー
ep17_00283.80s,2.05,keep,,ひでき大丈夫?,ひでき大丈夫？
ep17_00315.06s,3.85,keep,,うっうっうっうっ,うっうっうっうっ
ep17_00610.00s,1.50,repaired,latin,チィ Stream,ちー
ep17_00615.70s,2.24,keep,,てぃの服,てぃの服
ep17_00623.34s,2.79,keep,,ちぃ、何か忘れてる?,ちぃ、何か忘れてる？
ep17_00630.98s,1.65,repaired,short,地,ちー
ep17_00775.42s,1.54,keep,,秀樹、大丈夫?,秀樹、大丈夫？
ep17_00792.52s,2.01,keep,,よかった,よかった
ep17_00804.82s,2.93,keep,,クレタはもらった時に言う言葉,クレタはもらった時に言う言葉
ep17_00857.60s,2.74,keep,,ピー,ピー
ep17_01020.52s,2.04,keep,,ちー,ちー
ep17_01063.22s,2.00,repaired,latin,adopting,ひでき
ep17_01071.72s,0.98,keep,,きぃー,きぃー
ep17_01081.42s,0.94,repaired,latin,T,ちぃ？
ep17_01089.52s,1.22,keep,,ちぃー,ちぃー
ep17_01230.16s,2.69,dropped,short,着,
ep17_01453.62s,1.35,keep,,じぇーん,じぇーん
ep18_00151.56s,1.12,repaired,repeat,キィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィ,チー
ep18_00355.96s,2.78,keep,,いってらっしゃい,いってらっしゃい
ep18_00401.78s,1.32,keep,,本当に?,本当に？
ep18_00410.84s,1.52,keep,,本当に,本当に
ep18_00417.10s,3.75,keep,,ひできが病気って思ったら,ひできが病気って思ったら
